6.64713766e-01 2.73628024e-01 5.58149082e-02 5.57474450e-03 2.62348721e-04 6.13358136e-06 7.46044324e-08 4.89045624e-10 1.56655066e-12 2.30337420e-15 1.45001962e-18 2.37002482e-22
2.73628024e-01 4.10355055e-01 2.44792719e-01 6.35779100e-02 7.24677798e-03 3.89031485e-04 1.03420933e-05 1.39660474e-07 8.62379186e-10 2.40305365e-12 3.46136574e-15 2.11801083e-18
5.58149082e-02 2.44792719e-01 3.81967540e-01 2.43303649e-01 6.55016545e-02 8.12686989e-03 4.79105432e-04 1.33882618e-05 1.63820230e-07 9.74352121e-10 3.62877605e-12 6.42452436e-15
5.57474450e-03 6.35779100e-02 2.43303649e-01 3.70151960e-01 2.38567835e-01 6.93277442e-02 8.96083018e-03 5.21479980e-04 1.36616261e-05 1.83704931e-07 1.60312315e-09 6.85785573e-12
2.62348721e-04 7.24677798e-03 6.55016545e-02 2.38567835e-01 3.67421560e-01 2.42663240e-01 6.89354939e-02 8.87729965e-03 5.08855083e-04 1.46548009e-05 2.77614229e-07 2.50085937e-09
6.13358136e-06 3.89031485e-04 8.12686989e-03 6.93277442e-02 2.42663240e-01 3.62248836e-01 2.39283580e-01 6.90247614e-02 8.39824138e-03 5.11651776e-04 1.95705307e-05 3.39332344e-07
7.46044324e-08 1.03420933e-05 4.79105432e-04 8.96083018e-03 6.89354939e-02 2.39283580e-01 3.68893446e-01 2.40452448e-01 6.42299576e-02 8.14250158e-03 5.93809268e-04 1.84110306e-05
4.89045624e-10 1.39660474e-07 1.33882618e-05 5.21479980e-04 8.87729965e-03 6.90247614e-02 2.40452448e-01 3.73258130e-01 2.34354792e-01 6.42632803e-02 8.78468512e-03 4.49595750e-04
1.56655066e-12 8.62379186e-10 1.63820230e-07 1.36616261e-05 5.08855083e-04 8.39824138e-03 6.42299576e-02 2.34354792e-01 3.76010231e-01 2.46661868e-01 6.42818894e-02 5.54033917e-03
2.30337420e-15 2.40305365e-12 9.74352121e-10 1.83704931e-07 1.46548009e-05 5.11651776e-04 8.14250158e-03 6.42632803e-02 2.46661868e-01 3.98500814e-01 2.37975936e-01 4.39291080e-02
1.45001962e-18 3.46136574e-15 3.62877605e-12 1.60312315e-09 2.77614229e-07 1.95705307e-05 5.93809268e-04 8.78468512e-03 6.42818894e-02 2.37975936e-01 4.32608129e-01 2.55735701e-01
2.37002482e-22 2.11801083e-18 6.42452436e-15 6.85785573e-12 2.50085937e-09 3.39332344e-07 1.84110306e-05 4.49595750e-04 5.54033917e-03 4.39291080e-02 2.55735701e-01 6.94326503e-01
